date,polyclinic,total_attendance,elderly_attendance,chronic_disease_consultations,medication_refills
2023-07-04,Marine Parade,214,87,54,107
2023-07-04,Pasir Ris,216,88,66,135
2023-07-04,Punggol,200,87,67,138
2023-07-04,Queenstown,272,128,87,192
2023-07-04,Sembawang,274,138,53,123
2023-07-04,Sengkang,249,101,55,169
2023-07-04,Tampines,128,44,28,55
2023-07-04,Toa Payoh,329,86,72,227
2023-07-04,Woodlands,278,80,78,174
2023-07-04,Yishun,379,166,92,194
2023-07-05,Ang Mo Kio,195,61,62,117
2023-07-05,Bedok,273,150,36,198
2023-07-05,Bukit Batok,243,107,50,127
2023-07-05,Clementi,269,171,80,195
2023-07-05,Geylang,228,77,48,125
2023-07-05,Hougang,116,37,25,67
2023-07-05,Jurong,247,107,61,133
2023-07-05,Kallang,122,41,24,78
2023-07-05,Marine Parade,294,145,84,172
2023-07-05,Pasir Ris,208,67,36,145
2023-07-05,Punggol,229,63,47,117
2023-07-05,Queenstown,242,122,56,90
2023-07-05,Sembawang,228,87,54,122
2023-07-05,Sengkang,253,102,62,162
2023-07-05,Tampines,214,75,68,140
2023-07-05,Toa Payoh,289,151,79,200
2023-07-05,Woodlands,145,60,34,111
2023-07-05,Yishun,295,99,79,181
2023-07-06,Ang Mo Kio,267,79,71,154
2023-07-06,Bedok,256,83,56,183
2023-07-06,Bukit Batok,176,53,43,92
2023-07-06,Clementi,186,76,32,92
2023-07-06,Geylang,363,161,77,232
2023-07-06,Hougang,274,136,66,191
2023-07-06,Jurong,117,34,30,74
2023-07-06,Kallang,185,78,40,105
2023-07-06,Marine Parade,301,147,60,148
2023-07-06,Pasir Ris,215,85,46,151
2023-07-06,Punggol,260,114,48,186
2023-07-06,Queenstown,70,33,20,38
2023-07-06,Sembawang,316,124,79,200
2023-07-06,Sengkang,431,230,122,219
2023-07-06,Tampines,248,79,72,152
2023-07-06,Toa Payoh,172,70,35,105
2023-07-06,Woodlands,188,75,54,111
2023-07-06,Yishun,216,90,61,105
2023-07-07,Ang Mo Kio,255,135,71,154
2023-07-07,Bedok,278,123,79,110
2023-07-07,Bukit Batok,146,73,25,93
2023-07-07,Clementi,218,65,58,135
2023-07-07,Geylang,366,123,117,232
2023-07-07,Hougang,200,95,55,120
2023-07-07,Jurong,255,86,53,172
2023-07-07,Kallang,226,88,59,141
2023-07-07,Marine Parade,154,81,39,89
2023-07-07,Pasir Ris,265,112,76,173
2023-07-07,Punggol,283,151,83,165
2023-07-07,Queenstown,172,97,40,95
2023-07-07,Sembawang,135,58,34,60
2023-07-07,Sengkang,267,93,102,144
2023-07-07,Tampines,213,66,66,119
2023-07-07,Toa Payoh,196,92,35,129
2023-07-07,Woodlands,346,158,97,237
2023-07-07,Yishun,342,178,93,236
2023-07-08,Ang Mo Kio,130,62,25,73
2023-07-08,Bedok,50,22,10,35
2023-07-08,Bukit Batok,184,94,36,129
2023-07-08,Clementi,256,121,74,157
2023-07-08,Geylang,145,69,25,80
2023-07-08,Hougang,93,30,26,60
2023-07-08,Jurong,170,70,26,95
2023-07-08,Kallang,139,46,38,71
2023-07-08,Marine Parade,142,27,33,69
2023-07-08,Pasir Ris,171,52,43,100
2023-07-08,Punggol,238,107,37,112
2023-07-08,Queenstown,170,52,17,124
2023-07-08,Sembawang,198,89,43,127
2023-07-08,Sengkang,138,58,28,103
2023-07-08,Tampines,102,53,25,56
2023-07-08,Toa Payoh,175,82,55,110
2023-07-08,Woodlands,130,52,44,95
2023-07-08,Yishun,206,98,58,147
2023-07-09,Ang Mo Kio,148,39,37,76
2023-07-09,Bedok,123,40,46,75
2023-07-09,Bukit Batok,183,50,28,94
2023-07-09,Clementi,228,98,63,153
2023-07-09,Geylang,143,77,31,105
2023-07-09,Hougang,186,41,39,78
2023-07-09,Jurong,216,85,29,137
2023-07-09,Kallang,145,36,48,88
2023-07-09,Marine Parade,155,55,27,72
2023-07-09,Pasir Ris,221,77,55,87
2023-07-09,Punggol,112,51,30,86
2023-07-09,Queenstown,224,84,61,127
2023-07-09,Sembawang,254,130,65,157
2023-07-09,Sengkang,228,104,74,86
2023-07-09,Tampines,187,65,63,141
2023-07-09,Toa Payoh,169,93,57,102
2023-07-09,Woodlands,271,107,64,186
2023-07-09,Yishun,153,62,49,92
2023-07-10,Ang Mo Kio,138,60,29,94
2023-07-10,Bedok,281,153,83,199
2023-07-10,Bukit Batok,199,95,69,105
2023-07-10,Clementi,347,119,71,218
2023-07-10,Geylang,282,138,56,181
2023-07-10,Hougang,198,49,40,103
2023-07-10,Jurong,271,139,47,172
2023-07-10,Kallang,169,78,36,83
2023-07-10,Marine Parade,287,97,67,108
2023-07-10,Pasir Ris,296,142,74,132
2023-07-10,Punggol,312,104,70,259
2023-07-10,Queenstown,197,93,54,125
2023-07-10,Sembawang,256,112,67,152
2023-07-10,Sengkang,330,88,99,225
2023-07-10,Tampines,281,143,68,116
2023-07-10,Toa Payoh,235,70,50,111
2023-07-10,Woodlands,211,71,27,141
2023-07-10,Yishun,373,171,89,221
2023-07-11,Ang Mo Kio,214,87,53,110
2023-07-11,Bedok,340,85,97,200
2023-07-11,Bukit Batok,354,153,82,203
2023-07-11,Clementi,242,69,51,102
2023-07-11,Geylang,184,75,48,73
2023-07-11,Hougang,231,105,55,123
2023-07-11,Jurong,215,74,46,132
2023-07-11,Kallang,378,123,88,224
2023-07-11,Marine Parade,198,100,26,108
2023-07-11,Pasir Ris,289,107,60,186
2023-07-11,Punggol,294,123,61,189
2023-07-11,Queenstown,215,102,69,72
2023-07-11,Sembawang,246,55,91,136
2023-07-11,Sengkang,284,112,59,144
2023-07-11,Tampines,335,166,116,202
2023-07-11,Toa Payoh,257,95,60,127
2023-07-11,Woodlands,245,78,66,151
2023-07-11,Yishun,257,145,63,173
2023-07-12,Ang Mo Kio,363,192,111,206
2023-07-12,Bedok,253,67,69,158
2023-07-12,Bukit Batok,241,121,45,184
2023-07-12,Clementi,294,115,71,190
2023-07-12,Geylang,331,135,85,199
2023-07-12,Hougang,346,125,85,258
2023-07-12,Jurong,248,127,50,143
2023-07-12,Kallang,329,109,79,205
2023-07-12,Marine Parade,180,64,46,108
2023-07-12,Pasir Ris,316,175,65,193
2023-07-12,Punggol,280,154,80,176
2023-07-12,Queenstown,279,130,56,172
2023-07-12,Sembawang,327,124,83,188
2023-07-12,Sengkang,101,40,26,55
2023-07-12,Tampines,170,53,48,135
2023-07-12,Toa Payoh,322,85,94,171
2023-07-12,Woodlands,205,72,58,142
2023-07-12,Yishun,234,91,63,153
2023-07-13,Ang Mo Kio,310,84,77,152
2023-07-13,Bedok,236,89,58,122
2023-07-13,Bukit Batok,150,28,36,83
2023-07-13,Clementi,199,105,41,147
2023-07-13,Geylang,337,69,85,188
2023-07-13,Hougang,65,16,18,52
2023-07-13,Jurong,294,127,73,225
2023-07-13,Kallang,368,125,55,143
2023-07-13,Marine Parade,319,126,82,134
2023-07-13,Pasir Ris,194,71,50,108
2023-07-13,Punggol,177,56,54,110
2023-07-13,Queenstown,276,85,28,151
2023-07-13,Sembawang,188,81,77,125
2023-07-13,Sengkang,404,184,88,256
2023-07-13,Tampines,346,201,76,216
2023-07-13,Toa Payoh,154,74,50,93
2023-07-13,Woodlands,199,86,53,121
2023-07-13,Yishun,250,95,74,168
2023-07-14,Ang Mo Kio,181,54,42,121
2023-07-14,Bedok,248,83,65,140
2023-07-14,Bukit Batok,292,126,68,181
2023-07-14,Clementi,318,109,85,188
2023-07-14,Geylang,265,88,67,188
2023-07-14,Hougang,183,48,33,88
2023-07-14,Jurong,275,71,64,182
2023-07-14,Kallang,264,95,68,161
2023-07-14,Marine Parade,226,85,81,153
2023-07-14,Pasir Ris,388,135,95,181
2023-07-14,Punggol,191,112,42,151
2023-07-14,Queenstown,165,48,38,97
2023-07-14,Sembawang,295,131,67,173
2023-07-14,Sengkang,220,67,45,154
2023-07-14,Tampines,130,73,30,67
2023-07-14,Toa Payoh,284,155,86,184
2023-07-14,Woodlands,305,69,68,155
2023-07-14,Yishun,313,113,91,204
2023-07-15,Ang Mo Kio,131,44,41,68
2023-07-15,Bedok,173,55,40,103
2023-07-15,Bukit Batok,135,41,35,69
2023-07-15,Clementi,133,40,32,92
2023-07-15,Geylang,231,75,82,115
2023-07-15,Hougang,213,69,43,111
2023-07-15,Jurong,165,75,46,83
2023-07-15,Kallang,126,38,30,72
2023-07-15,Marine Parade,128,54,46,70
2023-07-15,Pasir Ris,149,67,33,99
2023-07-15,Punggol,137,79,36,73
2023-07-15,Queenstown,143,49,45,67
2023-07-15,Sembawang,139,47,34,79
2023-07-15,Sengkang,105,37,25,56
2023-07-15,Tampines,196,96,48,122
2023-07-15,Toa Payoh,77,27,23,42
2023-07-15,Woodlands,137,86,46,88
2023-07-15,Yishun,215,38,45,118
2023-07-16,Ang Mo Kio,158,55,19,100
2023-07-16,Bedok,190,106,40,97
2023-07-16,Bukit Batok,55,20,16,29
2023-07-16,Clementi,258,96,66,119
2023-07-16,Geylang,180,36,51,121
2023-07-16,Hougang,225,67,58,147
2023-07-16,Jurong,186,58,24,118
2023-07-16,Kallang,161,55,46,95
2023-07-16,Marine Parade,112,23,21,94
2023-07-16,Pasir Ris,198,82,47,113
2023-07-16,Punggol,217,76,60,122
2023-07-16,Queenstown,249,118,77,134
2023-07-16,Sembawang,212,78,54,161
2023-07-16,Sengkang,124,52,33,80
2023-07-16,Tampines,149,90,27,111
2023-07-16,Toa Payoh,219,129,37,112
2023-07-16,Woodlands,230,48,39,126
2023-07-16,Yishun,176,98,42,94
2023-07-17,Ang Mo Kio,258,115,70,150
2023-07-17,Bedok,122,37,39,75
2023-07-17,Bukit Batok,220,112,42,127
2023-07-17,Clementi,248,88,63,144
2023-07-17,Geylang,156,65,28,96
2023-07-17,Hougang,322,119,61,189
2023-07-17,Jurong,190,87,46,146
2023-07-17,Kallang,309,118,88,173
2023-07-17,Marine Parade,242,88,69,179
2023-07-17,Pasir Ris,287,141,84,188
2023-07-17,Punggol,171,97,58,98
2023-07-17,Queenstown,217,100,60,125
2023-07-17,Sembawang,164,70,45,110
2023-07-17,Sengkang,260,96,77,157
2023-07-17,Tampines,212,80,34,123
2023-07-17,Toa Payoh,281,121,91,161
2023-07-17,Woodlands,269,128,98,165
2023-07-17,Yishun,177,85,60,100
2023-07-18,Ang Mo Kio,290,151,87,177
2023-07-18,Bedok,198,77,54,136
2023-07-18,Bukit Batok,260,94,72,178
2023-07-18,Clementi,262,82,63,182
2023-07-18,Geylang,157,29,51,102
2023-07-18,Hougang,276,80,79,173
2023-07-18,Jurong,144,78,37,80
2023-07-18,Kallang,217,43,60,135
2023-07-18,Marine Parade,228,120,41,123
2023-07-18,Pasir Ris,188,69,47,120
2023-07-18,Punggol,219,68,73,184
2023-07-18,Queenstown,248,80,80,112
2023-07-18,Sembawang,219,72,42,125
2023-07-18,Sengkang,188,75,47,101
2023-07-18,Tampines,217,81,63,126
2023-07-18,Toa Payoh,289,132,80,213
2023-07-18,Woodlands,172,60,58,98
2023-07-18,Yishun,71,26,18,24
2023-07-19,Ang Mo Kio,320,105,85,184
2023-07-19,Bedok,162,47,32,114
2023-07-19,Bukit Batok,231,80,46,166
2023-07-19,Clementi,327,169,89,205
2023-07-19,Geylang,167,62,36,69
2023-07-19,Hougang,303,100,93,208
2023-07-19,Jurong,273,125,59,214
2023-07-19,Kallang,242,104,52,122
2023-07-19,Marine Parade,268,113,56,122
2023-07-19,Pasir Ris,163,84,35,92
2023-07-19,Punggol,327,94,69,171
2023-07-19,Queenstown,337,201,96,228
2023-07-19,Sembawang,205,121,53,140
2023-07-19,Sengkang,233,86,77,152
2023-07-19,Tampines,327,139,67,177
2023-07-19,Toa Payoh,246,82,47,177
2023-07-19,Woodlands,207,85,54,112
2023-07-19,Yishun,327,94,86,204
2023-07-20,Ang Mo Kio,236,63,69,159
2023-07-20,Bedok,199,93,53,93
2023-07-20,Bukit Batok,188,96,49,102
2023-07-20,Clementi,188,65,42,96
2023-07-20,Geylang,135,69,40,63
2023-07-20,Hougang,248,76,58,140
2023-07-20,Jurong,214,128,48,111
2023-07-20,Kallang,194,97,32,101
2023-07-20,Marine Parade,326,138,84,265
2023-07-20,Pasir Ris,254,83,59,123
2023-07-20,Punggol,315,144,96,227
2023-07-20,Queenstown,215,65,53,110
2023-07-20,Sembawang,249,127,60,153
2023-07-20,Sengkang,234,112,50,89
2023-07-20,Tampines,268,133,72,143
2023-07-20,Toa Payoh,171,76,43,100
2023-07-20,Woodlands,349,106,118,210
2023-07-20,Yishun,129,49,38,72
2023-07-21,Ang Mo Kio,151,57,31,98
2023-07-21,Bedok,286,84,61,193
2023-07-21,Bukit Batok,188,54,35,119
2023-07-21,Clementi,258,85,64,194
2023-07-21,Geylang,181,37,49,106
2023-07-21,Hougang,197,91,57,74
2023-07-21,Jurong,200,126,55,133
2023-07-21,Kallang,310,124,89,208
2023-07-21,Marine Parade,272,100,70,147
2023-07-21,Pasir Ris,240,67,50,137
2023-07-21,Punggol,183,63,44,117
2023-07-21,Queenstown,296,104,93,205
2023-07-21,Sembawang,270,112,71,194
2023-07-21,Sengkang,313,166,78,205
2023-07-21,Tampines,320,108,74,192
2023-07-21,Toa Payoh,293,144,69,131
2023-07-21,Woodlands,254,78,44,120
2023-07-21,Yishun,259,138,65,160
2023-07-22,Ang Mo Kio,217,53,59,129
2023-07-22,Bedok,191,67,39,117
2023-07-22,Bukit Batok,237,115,53,110
2023-07-22,Clementi,97,51,19,55
2023-07-22,Geylang,223,53,72,128
2023-07-22,Hougang,119,44,25,76
2023-07-22,Jurong,140,29,33,65
2023-07-22,Kallang,176,49,39,108
2023-07-22,Marine Parade,159,67,45,76
2023-07-22,Pasir Ris,165,11,43,94
2023-07-22,Punggol,126,54,38,69
2023-07-22,Queenstown,128,53,23,68
2023-07-22,Sembawang,219,88,34,92
2023-07-22,Sengkang,174,84,29,112
2023-07-22,Tampines,223,131,59,145
2023-07-22,Toa Payoh,78,47,17,39
2023-07-22,Woodlands,157,86,56,96
2023-07-22,Yishun,209,84,41,156
2023-07-23,Ang Mo Kio,141,78,44,93
2023-07-23,Bedok,244,152,58,126
2023-07-23,Bukit Batok,89,55,20,63
2023-07-23,Clementi,136,75,29,65
2023-07-23,Geylang,159,55,44,94
2023-07-23,Hougang,194,71,42,105
2023-07-23,Jurong,253,106,38,138
2023-07-23,Kallang,172,100,51,87
2023-07-23,Marine Parade,269,106,84,130
2023-07-23,Pasir Ris,67,17,5,54
2023-07-23,Punggol,177,54,48,109
2023-07-23,Queenstown,194,101,45,99
2023-07-23,Sembawang,202,97,51,165
2023-07-23,Sengkang,149,46,40,79
2023-07-23,Tampines,188,59,43,148
2023-07-23,Toa Payoh,150,48,46,74
2023-07-23,Woodlands,138,63,40,99
2023-07-23,Yishun,136,62,30,73
2023-07-24,Ang Mo Kio,312,107,82,192
2023-07-24,Bedok,175,86,48,70
2023-07-24,Bukit Batok,256,82,78,116
2023-07-24,Clementi,218,95,55,147
2023-07-24,Geylang,148,83,40,108
2023-07-24,Hougang,292,116,54,158
2023-07-24,Jurong,335,180,73,106
2023-07-24,Kallang,227,84,53,148
2023-07-24,Marine Parade,292,145,79,122
2023-07-24,Pasir Ris,219,138,58,139
2023-07-24,Punggol,261,115,34,150
2023-07-24,Queenstown,237,125,59,103
2023-07-24,Sembawang,265,84,50,136
2023-07-24,Sengkang,272,143,74,180
2023-07-24,Tampines,268,109,76,95
2023-07-24,Toa Payoh,246,72,75,143
2023-07-24,Woodlands,241,60,72,159
2023-07-24,Yishun,273,87,57,169
2023-07-25,Ang Mo Kio,198,87,28,109
2023-07-25,Bedok,347,154,89,277
2023-07-25,Bukit Batok,99,31,22,67
2023-07-25,Clementi,292,91,87,163
2023-07-25,Geylang,312,92,76,171
2023-07-25,Hougang,303,105,75,197
2023-07-25,Jurong,272,132,70,151
2023-07-25,Kallang,219,88,57,128
2023-07-25,Marine Parade,241,59,68,148
2023-07-25,Pasir Ris,300,120,48,169
2023-07-25,Punggol,228,108,33,137
2023-07-25,Queenstown,270,90,68,145
2023-07-25,Sembawang,196,70,42,130
2023-07-25,Sengkang,195,60,65,135
2023-07-25,Tampines,128,41,33,80
2023-07-25,Toa Payoh,150,77,43,97
2023-07-25,Woodlands,321,142,87,242
2023-07-25,Yishun,306,96,86,163
2023-07-26,Ang Mo Kio,270,120,48,158
2023-07-26,Bedok,255,90,67,173
2023-07-26,Bukit Batok,238,100,75,154
2023-07-26,Clementi,252,76,71,159
2023-07-26,Geylang,317,128,50,136
2023-07-26,Hougang,284,97,77,173
2023-07-26,Jurong,229,89,47,137
2023-07-26,Kallang,204,74,47,117
2023-07-26,Marine Parade,295,114,88,222
2023-07-26,Pasir Ris,291,131,77,199
2023-07-26,Punggol,245,122,68,138
2023-07-26,Queenstown,293,119,71,161
2023-07-26,Sembawang,249,124,73,158
2023-07-26,Sengkang,275,144,66,134
2023-07-26,Tampines,318,110,68,133
2023-07-26,Toa Payoh,274,65,58,180
2023-07-26,Woodlands,283,94,68,145
2023-07-26,Yishun,207,88,46,119
2023-07-27,Ang Mo Kio,152,78,41,103
2023-07-27,Bedok,317,100,73,130
2023-07-27,Bukit Batok,428,164,129,203
2023-07-27,Clementi,299,175,73,149
2023-07-27,Geylang,231,40,57,157
2023-07-27,Hougang,237,88,65,156
2023-07-27,Jurong,140,57,52,65
2023-07-27,Kallang,234,139,71,128
2023-07-27,Marine Parade,252,100,53,149
2023-07-27,Pasir Ris,223,91,47,105
2023-07-27,Punggol,237,135,60,134
2023-07-27,Queenstown,285,109,97,170
2023-07-27,Sembawang,282,91,77,176
2023-07-27,Sengkang,236,82,51,148
2023-07-27,Tampines,277,107,73,165
2023-07-27,Toa Payoh,245,93,61,213
2023-07-27,Woodlands,258,119,70,148
2023-07-27,Yishun,317,117,95,179
2023-07-28,Ang Mo Kio,182,79,35,118
2023-07-28,Bedok,168,61,29,148
2023-07-28,Bukit Batok,140,56,43,98
2023-07-28,Clementi,291,107,92,201
2023-07-28,Geylang,252,106,59,128
2023-07-28,Hougang,314,166,64,183
2023-07-28,Jurong,231,91,58,160
2023-07-28,Kallang,195,61,60,107
2023-07-28,Marine Parade,164,57,38,123
2023-07-28,Pasir Ris,295,151,85,204
2023-07-28,Punggol,198,75,39,114
2023-07-28,Queenstown,281,116,88,136
2023-07-28,Sembawang,270,74,68,181
2023-07-28,Sengkang,227,103,45,98
2023-07-28,Tampines,273,156,54,197
2023-07-28,Toa Payoh,242,64,46,145
2023-07-28,Woodlands,215,57,35,110
2023-07-28,Yishun,251,100,56,155
2023-07-29,Ang Mo Kio,211,92,51,146
2023-07-29,Bedok,127,47,30,60
2023-07-29,Bukit Batok,150,28,51,75
2023-07-29,Clementi,234,94,65,128
2023-07-29,Geylang,176,81,49,119
2023-07-29,Hougang,152,53,25,99
2023-07-29,Jurong,213,119,56,111
2023-07-29,Kallang,96,48,15,54
2023-07-29,Marine Parade,158,62,39,96
2023-07-29,Pasir Ris,66,26,9,44
2023-07-29,Punggol,144,26,30,78
2023-07-29,Queenstown,218,91,58,156
2023-07-29,Sembawang,163,77,46,76
2023-07-29,Sengkang,229,59,67,102
2023-07-29,Tampines,193,113,46,110
2023-07-29,Toa Payoh,193,70,65,119
2023-07-29,Woodlands,154,53,31,82
2023-07-29,Yishun,153,53,33,123
2023-07-30,Ang Mo Kio,124,51,34,82
2023-07-30,Bedok,165,62,44,103
2023-07-30,Bukit Batok,157,38,35,76
2023-07-30,Clementi,139,56,37,108
2023-07-30,Geylang,145,69,38,105
2023-07-30,Hougang,192,57,31,121
2023-07-30,Jurong,145,43,27,89
2023-07-30,Kallang,231,82,64,136
2023-07-30,Marine Parade,113,53,22,68
2023-07-30,Pasir Ris,153,74,30,97
2023-07-30,Punggol,132,46,9,106
2023-07-30,Queenstown,191,61,37,105
2023-07-30,Sembawang,198,41,48,153
2023-07-30,Sengkang,120,48,43,79
2023-07-30,Tampines,173,77,39,126
2023-07-30,Toa Payoh,151,30,34,76
2023-07-30,Woodlands,156,58,48,104
2023-07-30,Yishun,179,71,35,68
2023-07-31,Ang Mo Kio,246,117,60,134
2023-07-31,Bedok,267,104,89,193
2023-07-31,Bukit Batok,297,141,55,197
2023-07-31,Clementi,262,120,71,169
2023-07-31,Geylang,402,157,119,222
2023-07-31,Hougang,287,141,76,220
2023-07-31,Jurong,186,65,48,127
2023-07-31,Kallang,250,132,54,121
2023-07-31,Marine Parade,258,101,71,154
2023-07-31,Pasir Ris,219,85,55,124
2023-07-31,Punggol,227,81,66,140
2023-07-31,Queenstown,375,156,83,325
2023-07-31,Sembawang,264,131,73,174
2023-07-31,Sengkang,272,78,72,127
2023-07-31,Tampines,229,74,61,145
2023-07-31,Toa Payoh,268,114,58,153
2023-07-31,Woodlands,295,149,56,131
2023-07-31,Yishun,196,98,60,99
2023-08-01,Ang Mo Kio,258,150,69,191
2023-08-01,Bedok,299,92,71,180
2023-08-01,Bukit Batok,246,120,66,75
2023-08-01,Clementi,161,29,41,100
2023-08-01,Geylang,256,77,72,171
2023-08-01,Hougang,164,41,40,127
2023-08-01,Jurong,341,155,72,234
2023-08-01,Kallang,212,68,30,129
2023-08-01,Marine Parade,202,82,27,124
2023-08-01,Pasir Ris,94,47,25,53
2023-08-01,Punggol,273,82,69,185
2023-08-01,Queenstown,54,19,13,31
2023-08-01,Sembawang,327,94,71,133
2023-08-01,Sengkang,330,123,75,196
2023-08-01,Tampines,278,120,106,179
2023-08-01,Toa Payoh,212,72,48,95
2023-08-01,Woodlands,242,115,53,125
2023-08-01,Yishun,330,84,48,159
2023-08-02,Ang Mo Kio,147,64,34,84
2023-08-02,Bedok,309,102,89,232
2023-08-02,Bukit Batok,212,100,50,146
2023-08-02,Clementi,145,34,33,74
2023-08-02,Geylang,208,78,59,116
2023-08-02,Hougang,190,69,40,96
2023-08-02,Jurong,143,58,31,99
2023-08-02,Kallang,153,52,52,77
2023-08-02,Marine Parade,225,62,41,169
2023-08-02,Pasir Ris,250,103,41,158
2023-08-02,Punggol,309,159,87,150
2023-08-02,Queenstown,258,120,41,125
2023-08-02,Sembawang,293,142,50,199
2023-08-02,Sengkang,245,117,53,162
2023-08-02,Tampines,290,105,72,155
2023-08-02,Toa Payoh,339,131,69,179
2023-08-02,Woodlands,247,117,45,193
2023-08-02,Yishun,258,115,63,155
2023-08-03,Ang Mo Kio,231,115,57,156
2023-08-03,Bedok,213,89,44,153
2023-08-03,Bukit Batok,189,69,44,106
2023-08-03,Clementi,283,104,90,146
2023-08-03,Geylang,250,80,67,149
2023-08-03,Hougang,230,119,49,151
2023-08-03,Jurong,193,79,36,103
2023-08-03,Kallang,235,136,59,179
2023-08-03,Marine Parade,253,91,82,162
2023-08-03,Pasir Ris,201,89,47,80
2023-08-03,Punggol,296,150,101,190
2023-08-03,Queenstown,225,108,65,171
2023-08-03,Sembawang,237,90,50,154
2023-08-03,Sengkang,147,70,41,96
2023-08-03,Tampines,248,137,72,133
2023-08-03,Toa Payoh,204,63,56,101
2023-08-03,Woodlands,305,162,62,177
2023-08-03,Yishun,240,117,79,103
2023-08-04,Ang Mo Kio,220,82,39,121
2023-08-04,Bedok,265,98,45,235
2023-08-04,Bukit Batok,255,104,49,159
2023-08-04,Clementi,230,48,45,156
2023-08-04,Geylang,356,155,108,208
2023-08-04,Hougang,234,119,77,170
2023-08-04,Jurong,176,69,46,101
2023-08-04,Kallang,263,126,78,202
2023-08-04,Marine Parade,220,57,58,173
2023-08-04,Pasir Ris,211,98,60,130
2023-08-04,Punggol,240,73,32,117
2023-08-04,Queenstown,216,110,52,118
2023-08-04,Sembawang,186,86,59,131
2023-08-04,Sengkang,276,69,64,219
2023-08-04,Tampines,307,75,75,195
2023-08-04,Toa Payoh,194,32,49,101
2023-08-04,Woodlands,192,69,46,115
2023-08-04,Yishun,186,70,30,117
2023-08-05,Ang Mo Kio,50,18,14,24
2023-08-05,Bedok,198,102,16,115
2023-08-05,Bukit Batok,50,19,12,17
2023-08-05,Clementi,248,106,51,185
2023-08-05,Geylang,92,25,12,71
2023-08-05,Hougang,181,84,47,118
2023-08-05,Jurong,171,73,43,92
2023-08-05,Kallang,166,70,42,75
2023-08-05,Marine Parade,111,56,26,73
2023-08-05,Pasir Ris,122,30,25,70
2023-08-05,Punggol,140,74,36,109
2023-08-05,Queenstown,184,29,55,82
2023-08-05,Sembawang,177,57,63,131
2023-08-05,Sengkang,136,52,35,93
2023-08-05,Tampines,169,50,36,101
2023-08-05,Toa Payoh,219,96,46,145
2023-08-05,Woodlands,151,73,56,85
2023-08-05,Yishun,201,65,49,121
2023-08-06,Ang Mo Kio,159,102,37,104
2023-08-06,Bedok,86,38,26,47
2023-08-06,Bukit Batok,62,24,15,41
2023-08-06,Clementi,252,91,52,121
2023-08-06,Geylang,176,78,39,119
2023-08-06,Hougang,187,75,38,103
2023-08-06,Jurong,65,27,16,40
2023-08-06,Kallang,189,82,46,114
2023-08-06,Marine Parade,109,37,27,57
2023-08-06,Pasir Ris,204,68,53,124
2023-08-06,Punggol,199,97,56,77
2023-08-06,Queenstown,218,120,49,135
2023-08-06,Sembawang,130,26,27,70
2023-08-06,Sengkang,153,46,32,91
2023-08-06,Tampines,135,61,38,113
2023-08-06,Toa Payoh,215,91,47,135
2023-08-06,Woodlands,181,63,52,83
2023-08-06,Yishun,157,71,36,90
2023-08-07,Ang Mo Kio,231,73,71,115
2023-08-07,Bedok,259,114,52,157
2023-08-07,Bukit Batok,185,99,35,98
2023-08-07,Clementi,166,43,54,108
2023-08-07,Geylang,248,82,73,128
2023-08-07,Hougang,287,89,62,193
2023-08-07,Jurong,291,133,57,161
2023-08-07,Kallang,249,78,79,89
2023-08-07,Marine Parade,193,67,20,88
2023-08-07,Pasir Ris,277,111,91,209
2023-08-07,Punggol,265,114,67,88
2023-08-07,Queenstown,156,63,43,98
2023-08-07,Sembawang,186,91,60,129
2023-08-07,Sengkang,299,102,90,183
2023-08-07,Tampines,270,117,65,138
2023-08-07,Toa Payoh,235,117,53,161
2023-08-07,Woodlands,284,105,90,160
2023-08-07,Yishun,330,146,82,168
2023-08-08,Ang Mo Kio,234,88,43,135
2023-08-08,Bedok,191,87,60,91
2023-08-08,Bukit Batok,342,132,68,231
2023-08-08,Clementi,213,83,48,110
2023-08-08,Geylang,283,105,50,185
2023-08-08,Hougang,167,47,51,80
2023-08-08,Jurong,101,46,23,58
2023-08-08,Kallang,221,93,46,165
2023-08-08,Marine Parade,151,67,42,79
2023-08-08,Pasir Ris,178,89,35,96
2023-08-08,Punggol,293,118,46,226
2023-08-08,Queenstown,208,74,54,137
2023-08-08,Sembawang,357,83,103,240
2023-08-08,Sengkang,231,110,68,106
2023-08-08,Tampines,344,83,66,197
2023-08-08,Toa Payoh,355,131,88,263
2023-08-08,Woodlands,221,62,50,162
2023-08-08,Yishun,244,144,70,130
2023-08-09,Ang Mo Kio,243,76,52,254
2023-08-09,Bedok,301,146,65,227
2023-08-09,Bukit Batok,305,179,104,137
2023-08-09,Clementi,173,51,35,109
2023-08-09,Geylang,205,124,70,122
2023-08-09,Hougang,357,195,81,142
2023-08-09,Jurong,226,75,58,137
2023-08-09,Kallang,243,109,46,155
2023-08-09,Marine Parade,213,89,63,101
2023-08-09,Pasir Ris,223,86,50,153
2023-08-09,Punggol,196,67,42,139
2023-08-09,Queenstown,210,93,73,124
2023-08-09,Sembawang,306,173,92,183
2023-08-09,Sengkang,278,75,58,149
2023-08-09,Tampines,374,119,78,185
2023-08-09,Toa Payoh,273,113,83,182
2023-08-09,Woodlands,157,50,49,91
2023-08-09,Yishun,311,119,62,177
2023-08-10,Ang Mo Kio,181,62,47,117
2023-08-10,Bedok,144,57,31,77
2023-08-10,Bukit Batok,247,85,78,177
